No.,Time,Source,Destination,Protocol,Length,Info
86,57.72,fe80::209:9:9:9,fe80::205:5:5:5,ICMPv6,102,RPL Control (DODAG Information Object)
87,57.724296,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
88,57.97,fe80::205:5:5:5,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
89,59.08,fe80::209:9:9:9,fe80::205:5:5:5,ICMPv6,102,RPL Control (DODAG Information Object)
90,59.084296,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
91,61.38,00:03:00:03:00:03:00:03,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Barracud_03:00:03:00:03"
92,61.4,00:05:00:05:00:05:00:05,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Cisco_05:00:05:00:05"
93,62.82,::209:9:9:9,::201:1:1:1,ICMPv6,93,RPL Control (Destination Advertisement Object)
94,62.824008,,00:09:00:09:00:09:00:09,IEEE 802.15.4,19,"Ack, Dst: Tmt_09:00:09:00:09"
95,62.95,::209:9:9:9,::201:1:1:1,ICMPv6,94,RPL Control (Destination Advertisement Object)
96,62.95404,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
97,62.99,::201:1:1:1,::209:9:9:9,ICMPv6,51,RPL Control (Destination Advertisement Object Acknowledgment)
98,62.992664,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
99,63.03,::201:1:1:1,::209:9:9:9,ICMPv6,60,RPL Control (Destination Advertisement Object Acknowledgment)
100,63.032952,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
101,65.36,00:04:00:04:00:04:00:04,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: LexmarkP_04:00:04:00:04"
102,65.69,fe80::204:4:4:4,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
103,65.694296,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
104,66.65,fe80::202:2:2:2,ff02::1a,ICMPv6,26,RPL Control (DODAG Information Solicitation)
105,66.65,fe80::207:7:7:7,ff02::1a,ICMPv6,26,RPL Control (DODAG Information Solicitation)
106,66.96,fe80::209:9:9:9,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
107,67.58,fe80::203:3:3:3,ff02::1a,ICMPv6,96,RPL Control (DODAG Information Object)
108,68.24,fe80::207:7:7:7,fe80::203:3:3:3,ICMPv6,102,RPL Control (DODAG Information Object)
109,68.244296,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
110,68.56,00:04:00:04:00:04:00:04,00:01:00:01:00:01:00:01,IEEE 802.15.4,23,"Data, Dst: EquipTra_01:00:01:00:01, Src: LexmarkP_04:00:04:00:04"
